Comp1,Comp2,Comp3,Objective
0.3374252443136454,0.3278789386574905,0.33469581702886425,-0.2814324319173874
0.31119688902902837,0.2878279477600176,0.4009751632109543,-29.80222105825062
0.2849685337444113,0.2477769568625446,0.46725450939304425,-64.87147055705233
0.2587401784597942,0.20772596596507165,0.5335338555751342,-56.2695952054113
0.23251182317517718,0.1676749750675987,0.5998132017572242,-32.34724910233635
0.20628346789056012,0.12762398417012577,0.6660925479393142,-60.35461348878885
0.18005511260594306,0.08757299327265282,0.7323718941214042,-120.16221033918265
0.153826757321326,0.04752200237517985,0.7986512403034942,-35.99822795364
0.4939648567536194,0.3297862345608553,0.17624890868552529,-80.54418405136892
0.48628483400708544,0.3510233406290387,0.16269182536387589,-54.92775991332196
0.47860481126055154,0.372260446697222,0.14913474204222646,-30.090251886199272
0.47092478851401753,0.39349755276540543,0.13557765872057703,-11.765351593458721
0.46324476576748363,0.4147346588335888,0.12202057539892765,-5.850067376926573
0.4555647430209497,0.43597176490177214,0.10846349207727823,-14.812247092268025
0.4478847202744157,0.45720887096995555,0.09490640875562883,-36.46765491673308
0.4402046975278818,0.4784459770381389,0.08134932543397941,-59.60837497334704
0.6512033636934189,0.16253340856578535,0.1862632277407958,-60.15785665695387
0.6019194048830974,0.23284667594915265,0.16523391916775,-89.9258616600094
0.5526354460727759,0.30315994333251994,0.1442046105947042,-69.73620046606774
0.5033514872624544,0.37347321071588724,0.1231753020216584,-24.170940797690125
0.45406752845213283,0.44378647809925453,0.10214599344861261,-23.85722520019318
0.4047835696418114,0.5140997454826218,0.08111668487556682,-72.76872814925754
0.35549961083148984,0.5844130128659891,0.06008737630252102,-97.62966264224991
0.30621565202116835,0.6547262802493564,0.03905806772947521,-63.41913059901083
0.027399208521343064,0.5896077035524737,0.3829930879261833,-26.566223263214564
0.07917823240092613,0.5802777554937032,0.3405440121053708,-108.85495655056552
0.13095725628050917,0.5709478074349327,0.2980949362845582,-4.97002557774137
